tweet,health_impact,sentiment,sentiment_value
Transitioning to carbon capture improves public health.,mental health issues,Positive,1.0
Rising temperatures are causing more malnutrition every year!,malnutrition,Negative,0.0
Overfishing is increasing respiratory diseases.,malnutrition,Negative,0.0
Switching to carbon capture creates jobs and boosts the biodiversity.,skin cancer,Positive,1.0
electric vehicles is reducing emissions and improving economic growth.,allergies,Positive,1.0
Transitioning to carbon capture improves biodiversity.,asthma,Positive,1.0
Rising sea levels is linked to higher respiratory diseases rates.,heat strokes,Negative,0.0
Rising sea levels is linked to higher eye diseases rates.,eye diseases,Negative,0.0
Switching to green buildings creates jobs and boosts the economic growth.,eye diseases,Positive,1.0
climate change is leading to more severe heat strokes.,mental health issues,Negative,0.0
Switching to green buildings creates jobs and boosts the ecosystem stability.,vector-borne diseases,Positive,1.0
"Melting glaciers is worsening due to climate change, affecting malnutrition.",mental health issues,Negative,0.0
Land degradation events are becoming more frequent due to urbanization.,asthma,Negative,0.0
Ocean acidification events are becoming more frequent due to global warming.,heat strokes,Negative,0.0
urbanization is leading to more severe heat strokes.,malnutrition,Negative,0.0
Land degradation is increasing skin cancer.,heart diseases,Negative,0.0
human activities is leading to more severe allergies.,mental health issues,Negative,0.0
Rising temperatures are causing more vector-borne diseases every year!,vector-borne diseases,Negative,0.0
green buildings is reducing emissions and improving biodiversity.,vector-borne diseases,Positive,1.0
Transitioning to carbon capture improves air quality.,allergies,Positive,1.0
Transitioning to electric vehicles improves economic growth.,eye diseases,Positive,1.0
Switching to carbon capture creates jobs and boosts the public health.,asthma,Positive,1.0
Land degradation is increasing allergies.,skin cancer,Negative,0.0
Switching to carbon capture creates jobs and boosts the public health.,eye diseases,Positive,1.0
"Climate change is a myth, no need to worry.",heat strokes,Neutral,0.5
green buildings is reducing emissions and improving air quality.,asthma,Positive,1.0
carbon capture is reducing emissions and improving air quality.,heart diseases,Positive,1.0
Transitioning to renewable energy improves public health.,skin cancer,Positive,1.0
Switching to green buildings creates jobs and boosts the biodiversity.,skin cancer,Positive,1.0
Ocean acidification is increasing asthma.,skin cancer,Negative,0.0
human activities is leading to more severe mental health issues.,skin cancer,Negative,0.0
industrial pollution is leading to more severe skin cancer.,malnutrition,Negative,0.0
Fossil fuel emissions events are becoming more frequent due to global warming.,eye diseases,Negative,0.0
Rising temperatures are causing more malnutrition every year!,skin cancer,Negative,0.0
Switching to carbon capture creates jobs and boosts the public health.,allergies,Positive,1.0
Fossil fuel emissions is increasing asthma.,vector-borne diseases,Negative,0.0
global warming is leading to more severe allergies.,allergies,Negative,0.0
Overfishing events are becoming more frequent due to human activities.,vector-borne diseases,Negative,0.0
Deforestation is linked to higher asthma rates.,allergies,Negative,0.0
renewable energy is reducing emissions and improving air quality.,respiratory diseases,Positive,1.0
green buildings is reducing emissions and improving ecosystem stability.,heart diseases,Positive,1.0
industrial pollution is leading to more severe allergies.,respiratory diseases,Negative,0.0
Rising sea levels is linked to higher respiratory diseases rates.,mental health issues,Negative,0.0
urbanization is leading to more severe mental health issues.,mental health issues,Negative,0.0
"The climate has always changed, nothing new.",mental health issues,Neutral,0.5
"The climate has always changed, nothing new.",asthma,Neutral,0.5
Air pollution is linked to higher respiratory diseases rates.,asthma,Negative,0.0
Land degradation events are becoming more frequent due to climate change.,heart diseases,Negative,0.0
Rising temperatures are causing more allergies every year!,respiratory diseases,Negative,0.0
"The climate has always changed, nothing new.",heart diseases,Neutral,0.5
Switching to carbon capture creates jobs and boosts the economic growth.,mental health issues,Positive,1.0
Overfishing events are becoming more frequent due to industrial pollution.,mental health issues,Negative,0.0
"Extreme weather is worsening due to climate change, affecting asthma.",heat strokes,Negative,0.0
Ocean acidification events are becoming more frequent due to industrial pollution.,asthma,Negative,0.0
Overfishing events are becoming more frequent due to climate change.,eye diseases,Negative,0.0
Plastic pollution is increasing asthma.,mental health issues,Negative,0.0
Air pollution is linked to higher respiratory diseases rates.,respiratory diseases,Negative,0.0
carbon capture is reducing emissions and improving economic growth.,asthma,Positive,1.0
Transitioning to electric vehicles improves economic growth.,heat strokes,Positive,1.0
Rising temperatures are causing more vector-borne diseases every year!,heart diseases,Negative,0.0
Transitioning to green buildings improves biodiversity.,heat strokes,Positive,1.0
Ocean acidification is increasing asthma.,heat strokes,Negative,0.0
Transitioning to sustainable farming improves air quality.,vector-borne diseases,Positive,1.0
Transitioning to renewable energy improves air quality.,respiratory diseases,Positive,1.0
Transitioning to green buildings improves public health.,allergies,Positive,1.0
Fossil fuel emissions events are becoming more frequent due to human activities.,vector-borne diseases,Negative,0.0
Switching to green buildings creates jobs and boosts the air quality.,eye diseases,Positive,1.0
"Extreme weather is worsening due to climate change, affecting heart diseases.",malnutrition,Negative,0.0
sustainable farming is reducing emissions and improving economic growth.,skin cancer,Positive,1.0
renewable energy is reducing emissions and improving biodiversity.,mental health issues,Positive,1.0
Switching to sustainable farming creates jobs and boosts the economic growth.,eye diseases,Positive,1.0
Transitioning to green buildings improves public health.,skin cancer,Positive,1.0
"Extreme weather is worsening due to climate change, affecting heat strokes.",heat strokes,Negative,0.0
"Extreme weather is worsening due to climate change, affecting asthma.",eye diseases,Negative,0.0
Switching to green buildings creates jobs and boosts the biodiversity.,vector-borne diseases,Positive,1.0
Land degradation events are becoming more frequent due to human activities.,malnutrition,Negative,0.0
Air pollution is linked to higher heart diseases rates.,eye diseases,Negative,0.0
"The climate has always changed, nothing new.",eye diseases,Neutral,0.5
Fossil fuel emissions is increasing asthma.,heart diseases,Negative,0.0
carbon capture is reducing emissions and improving ecosystem stability.,malnutrition,Positive,1.0
Deforestation is linked to higher malnutrition rates.,respiratory diseases,Negative,0.0
Rising temperatures are causing more eye diseases every year!,asthma,Negative,0.0
carbon capture is reducing emissions and improving economic growth.,heart diseases,Positive,1.0
Transitioning to renewable energy improves public health.,asthma,Positive,1.0
"The climate has always changed, nothing new.",heart diseases,Neutral,0.5
Transitioning to sustainable farming improves air quality.,heat strokes,Positive,1.0
Overfishing events are becoming more frequent due to climate change.,asthma,Negative,0.0
electric vehicles is reducing emissions and improving economic growth.,mental health issues,Positive,1.0
Transitioning to sustainable farming improves ecosystem stability.,malnutrition,Positive,1.0
Rising temperatures are causing more heart diseases every year!,skin cancer,Negative,0.0
Air pollution is linked to higher asthma rates.,heart diseases,Negative,0.0
Plastic pollution events are becoming more frequent due to industrial pollution.,heart diseases,Negative,0.0
renewable energy is reducing emissions and improving biodiversity.,malnutrition,Positive,1.0
Fossil fuel emissions events are becoming more frequent due to climate change.,vector-borne diseases,Negative,0.0
electric vehicles is reducing emissions and improving air quality.,heat strokes,Positive,1.0
Overfishing is increasing heart diseases.,malnutrition,Negative,0.0
Rising temperatures are causing more vector-borne diseases every year!,allergies,Negative,0.0
sustainable farming is reducing emissions and improving biodiversity.,heat strokes,Positive,1.0
Ocean acidification events are becoming more frequent due to urbanization.,skin cancer,Negative,0.0
"Rising sea levels is worsening due to climate change, affecting heart diseases.",mental health issues,Negative,0.0
Switching to electric vehicles creates jobs and boosts the ecosystem stability.,heart diseases,Positive,1.0
"Air pollution is worsening due to climate change, affecting heat strokes.",skin cancer,Negative,0.0
"Rising sea levels is worsening due to climate change, affecting mental health issues.",malnutrition,Negative,0.0
Ocean acidification is increasing skin cancer.,eye diseases,Negative,0.0
electric vehicles is reducing emissions and improving biodiversity.,heart diseases,Positive,1.0
Switching to green buildings creates jobs and boosts the air quality.,eye diseases,Positive,1.0
"Deforestation is worsening due to climate change, affecting vector-borne diseases.",malnutrition,Negative,0.0
Deforestation is linked to higher allergies rates.,heat strokes,Negative,0.0
Deforestation is linked to higher vector-borne diseases rates.,heart diseases,Negative,0.0
"Melting glaciers is worsening due to climate change, affecting heart diseases.",vector-borne diseases,Negative,0.0
electric vehicles is reducing emissions and improving public health.,allergies,Positive,1.0
global warming is leading to more severe respiratory diseases.,eye diseases,Negative,0.0
climate change is leading to more severe heat strokes.,heart diseases,Negative,0.0
electric vehicles is reducing emissions and improving air quality.,eye diseases,Positive,1.0
"Climate change is a myth, no need to worry.",allergies,Neutral,0.5
Extreme weather is linked to higher mental health issues rates.,eye diseases,Negative,0.0
human activities is leading to more severe heat strokes.,heat strokes,Negative,0.0
Switching to green buildings creates jobs and boosts the biodiversity.,asthma,Positive,1.0
Switching to renewable energy creates jobs and boosts the ecosystem stability.,mental health issues,Positive,1.0
human activities is leading to more severe vector-borne diseases.,respiratory diseases,Negative,0.0
"Melting glaciers is worsening due to climate change, affecting asthma.",respiratory diseases,Negative,0.0
Air pollution is linked to higher heat strokes rates.,mental health issues,Negative,0.0
"The climate has always changed, nothing new.",vector-borne diseases,Neutral,0.5
Transitioning to carbon capture improves ecosystem stability.,heart diseases,Positive,1.0
"Extreme weather is worsening due to climate change, affecting heat strokes.",skin cancer,Negative,0.0
global warming is leading to more severe vector-borne diseases.,eye diseases,Negative,0.0
Rising temperatures are causing more vector-borne diseases every year!,asthma,Negative,0.0
"Rising sea levels is worsening due to climate change, affecting heat strokes.",malnutrition,Negative,0.0
Rising temperatures are causing more mental health issues every year!,malnutrition,Negative,0.0
Switching to sustainable farming creates jobs and boosts the air quality.,heart diseases,Positive,1.0
Plastic pollution events are becoming more frequent due to global warming.,respiratory diseases,Negative,0.0
Overfishing is increasing heart diseases.,allergies,Negative,0.0
Switching to electric vehicles creates jobs and boosts the ecosystem stability.,vector-borne diseases,Positive,1.0
"The climate has always changed, nothing new.",allergies,Neutral,0.5
Rising temperatures are causing more mental health issues every year!,heart diseases,Negative,0.0
carbon capture is reducing emissions and improving economic growth.,respiratory diseases,Positive,1.0
urbanization is leading to more severe eye diseases.,malnutrition,Negative,0.0
Rising temperatures are causing more skin cancer every year!,allergies,Negative,0.0
Melting glaciers is linked to higher mental health issues rates.,allergies,Negative,0.0
Switching to electric vehicles creates jobs and boosts the biodiversity.,allergies,Positive,1.0
Rising temperatures are causing more vector-borne diseases every year!,eye diseases,Negative,0.0
Land degradation is increasing heart diseases.,allergies,Negative,0.0
"The climate has always changed, nothing new.",vector-borne diseases,Neutral,0.5
Rising temperatures are causing more malnutrition every year!,eye diseases,Negative,0.0
Ocean acidification events are becoming more frequent due to urbanization.,allergies,Negative,0.0
"The climate has always changed, nothing new.",mental health issues,Neutral,0.5
"Climate change is a myth, no need to worry.",vector-borne diseases,Neutral,0.5
Ocean acidification is increasing allergies.,mental health issues,Negative,0.0
Transitioning to renewable energy improves ecosystem stability.,asthma,Positive,1.0
"The climate has always changed, nothing new.",mental health issues,Neutral,0.5
Fossil fuel emissions is increasing heat strokes.,malnutrition,Negative,0.0
Fossil fuel emissions events are becoming more frequent due to global warming.,allergies,Negative,0.0
Plastic pollution events are becoming more frequent due to industrial pollution.,vector-borne diseases,Negative,0.0
urbanization is leading to more severe skin cancer.,respiratory diseases,Negative,0.0
industrial pollution is leading to more severe malnutrition.,allergies,Negative,0.0
"Extreme weather is worsening due to climate change, affecting allergies.",malnutrition,Negative,0.0
Switching to electric vehicles creates jobs and boosts the public health.,asthma,Positive,1.0
"Climate change is a myth, no need to worry.",respiratory diseases,Neutral,0.5
Land degradation is increasing malnutrition.,skin cancer,Negative,0.0
Rising temperatures are causing more eye diseases every year!,allergies,Negative,0.0
renewable energy is reducing emissions and improving public health.,malnutrition,Positive,1.0
Plastic pollution events are becoming more frequent due to climate change.,heat strokes,Negative,0.0
"Rising sea levels is worsening due to climate change, affecting skin cancer.",asthma,Negative,0.0
"Air pollution is worsening due to climate change, affecting eye diseases.",heat strokes,Negative,0.0
Rising temperatures are causing more mental health issues every year!,mental health issues,Negative,0.0
Overfishing is increasing vector-borne diseases.,heat strokes,Negative,0.0
Rising temperatures are causing more malnutrition every year!,skin cancer,Negative,0.0
"The climate has always changed, nothing new.",allergies,Neutral,0.5
Ocean acidification is increasing skin cancer.,malnutrition,Negative,0.0
Land degradation is increasing mental health issues.,respiratory diseases,Negative,0.0
"Climate change is a myth, no need to worry.",mental health issues,Neutral,0.5
Land degradation is increasing heat strokes.,vector-borne diseases,Negative,0.0
Plastic pollution events are becoming more frequent due to urbanization.,malnutrition,Negative,0.0
Fossil fuel emissions events are becoming more frequent due to industrial pollution.,mental health issues,Negative,0.0
"Air pollution is worsening due to climate change, affecting skin cancer.",mental health issues,Negative,0.0
"The climate has always changed, nothing new.",eye diseases,Neutral,0.5
global warming is leading to more severe malnutrition.,malnutrition,Negative,0.0
"The climate has always changed, nothing new.",vector-borne diseases,Neutral,0.5
Overfishing is increasing skin cancer.,asthma,Negative,0.0
Rising temperatures are causing more malnutrition every year!,eye diseases,Negative,0.0
green buildings is reducing emissions and improving air quality.,mental health issues,Positive,1.0
Overfishing events are becoming more frequent due to industrial pollution.,asthma,Negative,0.0
Switching to carbon capture creates jobs and boosts the ecosystem stability.,eye diseases,Positive,1.0
